,Home,Town,count,lat,lon,coordinates
0,Afghanistan,Kabul,2,34.5260131,69.1776476,"(34.5260131, 69.1776476)"
1,Albania,Tirana,48,41.3279457,19.8185323,"(41.3279457, 19.8185323)"
2,Algeria,Blida,33,36.4701645,2.8287985,"(36.4701645, 2.8287985)"
3,Andorra,Andorra la Vella,44,42.5069391,1.5212467,"(42.5069391, 1.5212467)"
4,Angola,Luanda,44,-8.8272699,13.2439512,"(-8.8272699, 13.2439512)"
5,Anguilla,The Valley,5,18.2145861,-63.0517759,"(18.2145861, -63.0517759)"
6,Antigua and Barbuda,Saint Johns,13,17.1184569,-61.8448509,"(17.1184569, -61.8448509)"
7,Argentina,Buenos Aires,34,-34.6075616,-58.437076,"(-34.6075616, -58.437076)"
8,Armenia,Yerevan,53,40.1776121,44.5125849,"(40.1776121, 44.5125849)"
9,Aruba,Oranjestad,11,12.5268736,-70.0356845,"(12.5268736, -70.0356845)"
10,Australia,Sydney,24,-33.8548157,151.2164539,"(-33.8548157, 151.2164539)"
11,Austria,Vienna,58,48.2083537,16.3725042,"(48.2083537, 16.3725042)"
12,Azerbaijan,Baku,53,40.3759646,49.8325808,"(40.3759646, 49.8325808)"
13,Bahamas,Nassau,4,25.0783456,-77.3383331,"(25.0783456, -77.3383331)"
14,Bahrain,Manama,78,26.2235041,50.5822436,"(26.2235041, 50.5822436)"
15,Bangladesh,Dhaka,31,23.7593572,90.3788136,"(23.7593572, 90.3788136)"
16,Barbados,Bridgetown,43,13.0977832,-59.6184184,"(13.0977832, -59.6184184)"
17,Belarus,Minsk,38,53.902334,27.5618791,"(53.902334, 27.5618791)"
18,Belgium,Brussels,62,50.8465573,4.351697,"(50.8465573, 4.351697)"
19,Belize,Belmopan,9,17.250199,-88.770018,"(17.250199, -88.770018)"
20,Benin,Cotonou,39,6.3676953,2.4252507,"(6.3676953, 2.4252507)"
21,Bermuda,Hamilton,23,32.3298121,-64.7057782525722,"(32.3298121, -64.7057782525722)"
22,Bhutan,Thimphu,10,27.4727617,89.629548,"(27.4727617, 89.629548)"
23,Bolivia,La Paz,41,-16.4956371,-68.1336346,"(-16.4956371, -68.1336346)"
24,Bosnia and Herzegovina,Zenica,39,44.200713,17.9080954,"(44.200713, 17.9080954)"
25,Botswana,Gaborone,59,-24.655319,25.908728,"(-24.655319, 25.908728)"
26,Brazil,Sao Paulo,10,-23.5506507,-46.6333824,"(-23.5506507, -46.6333824)"
27,British Virgin Islands,Road Town,6,18.4257128,-64.6232227,"(18.4257128, -64.6232227)"
29,Brunei,Bandar Seri Begawan,2,4.8895453,114.9417574,"(4.8895453, 114.9417574)"
30,Bulgaria,Sofia,51,42.6978634,23.3221789,"(42.6978634, 23.3221789)"
31,Burkina Faso,Ouagadougou,43,12.368148,-1.527085,"(12.368148, -1.527085)"
32,Burundi,Bujumbura,29,-3.3638125,29.3675028,"(-3.3638125, 29.3675028)"
33,Cambodia,Phnom penh,33,11.568271,104.9224426,"(11.568271, 104.9224426)"
34,Cameroon,Yaounde,37,3.8689867,11.5213344,"(3.8689867, 11.5213344)"
35,Canada,Toronto,16,43.653963,-79.387207,"(43.653963, -79.387207)"
36,Cape Verde,Praia,34,14.9160169,-23.5096132,"(14.9160169, -23.5096132)"
37,Cayman Islands,Grand Cayman,4,19.32988935,-81.1712871647512,"(19.32988935, -81.1712871647512)"
38,Central African Republic,Bangui,13,4.3907153,18.5509126,"(4.3907153, 18.5509126)"
39,Chad,NDjamena,23,12.1191543,15.0502758,"(12.1191543, 15.0502758)"
40,Chile,Santiago de Chile,50,-33.4377968,-70.6504451,"(-33.4377968, -70.6504451)"
41,China,Guangzhou,13,23.1301964,113.2592945,"(23.1301964, 113.2592945)"
42,Colombia,Barranquilla,28,11.01184845,-74.8086460830206,"(11.01184845, -74.8086460830206)"
43,Comoros,Mitsamiouli,10,-11.3888547,43.2930126,"(-11.3888547, 43.2930126)"
44,Congo,Brazzaville,35,-4.2694407,15.2712256,"(-4.2694407, 15.2712256)"
45,Costa Rica,San Jose,58,9.9325427,-84.0795782,"(9.9325427, -84.0795782)"
46,Croatia,Zagreb,41,45.813177,15.977048,"(45.813177, 15.977048)"
47,Cuba,Havana,29,23.138028,-82.3658671,"(23.138028, -82.3658671)"
48,Curacao,Willemstad,27,12.1091242,-68.9316546,"(12.1091242, -68.9316546)"
49,Cyprus,Nicosia,41,35.180282,33.3736958666529,"(35.180282, 33.3736958666529)"
50,Czech Republic,Prague,35,50.0874654,14.4212535,"(50.0874654, 14.4212535)"
51,DR Congo,Kinshasa,37,-4.3217055,15.3125974,"(-4.3217055, 15.3125974)"
52,Denmark,Copenhagen,53,55.6867243,12.5700724,"(55.6867243, 12.5700724)"
53,Djibouti,Djibouti,12,11.85677545,42.7577845199437,"(11.85677545, 42.7577845199437)"
54,Dominica,Roseau,12,15.2991923,-61.3872868,"(15.2991923, -61.3872868)"
55,Dominican Republic,Santo Domingo,6,18.4801972,-69.942111,"(18.4801972, -69.942111)"
56,Ecuador,Quito,44,-0.2201641,-78.5123274,"(-0.2201641, -78.5123274)"
57,Egypt,Cairo,62,30.048819,31.243666,"(30.048819, 31.243666)"
58,El Salvador,San Salvador,42,13.6989939,-89.1914249,"(13.6989939, -89.1914249)"
59,England,London,61,51.5073219,-0.1276474,"(51.5073219, -0.1276474)"
60,Equatorial Guinea,Malabo,27,3.752828,8.780061,"(3.752828, 8.780061)"
61,Eritrea,Asmara,11,15.3389667,38.9326763,"(15.3389667, 38.9326763)"
62,Estonia,Tallinn,88,59.4372155,24.7453688,"(59.4372155, 24.7453688)"
63,Ethiopia,Addis Ababa,47,9.0107934,38.7612525,"(9.0107934, 38.7612525)"
64,Faroe Islands,Torshavn,29,62.012,-6.768,"(62.012, -6.768)"
65,Fiji,Lautoka,7,-17.6043956,177.4530138,"(-17.6043956, 177.4530138)"
66,Finland,Helsinki,35,60.1674086,24.9425683,"(60.1674086, 24.9425683)"
67,France,Paris,70,48.8566101,2.3514992,"(48.8566101, 2.3514992)"
68,Gabon,Libreville,40,0.390002,9.454001,"(0.390002, 9.454001)"
69,Gambia,Bakau,18,13.477453,-16.6779085,"(13.477453, -16.6779085)"
70,Georgia,Tbilisi,58,41.6935247,44.8015019,"(41.6935247, 44.8015019)"
71,Germany,Dortmund,8,51.5142273,7.4652789,"(51.5142273, 7.4652789)"
72,Ghana,Kumasi,25,6.698081,-1.6230404,"(6.698081, -1.6230404)"
73,Gibraltar,Gibraltar,5,36.140807,-5.3541295,"(36.140807, -5.3541295)"
74,Greece,Piraeus,41,37.9440078,23.6483599,"(37.9440078, 23.6483599)"
75,Grenada,St. Georges,31,12.0535331,-61.751805,"(12.0535331, -61.751805)"
76,Guam,Hagatna,4,13.4773442,144.7521907,"(13.4773442, 144.7521907)"
77,Guatemala,Guatemala City,40,14.6417889,-90.5132239,"(14.6417889, -90.5132239)"
78,Guinea,Conakry,35,9.5170602,-13.6998434,"(9.5170602, -13.6998434)"
79,Guinea-Bissau,Bissau,18,11.861324,-15.583055,"(11.861324, -15.583055)"
80,Guyana,Georgetown,18,6.8025766,-58.1628612,"(6.8025766, -58.1628612)"
81,Haiti,Port-au-Prince,24,18.547327,-72.3395928,"(18.547327, -72.3395928)"
82,Honduras,San Pedro Sula,43,15.49479015,-88.067138609666,"(15.49479015, -88.067138609666)"
83,Hong Kong,Hong Kong,63,22.2793278,114.1628131,"(22.2793278, 114.1628131)"
84,Hungary,Budapest,68,47.4983815,19.0404707,"(47.4983815, 19.0404707)"
85,Iceland,Reykjavik,52,64.145981,-21.9422367,"(64.145981, -21.9422367)"
86,India,New Delhi,21,28.6141793,77.2022662,"(28.6141793, 77.2022662)"
87,Indonesia,Jakarta,42,-6.1753942,106.827183,"(-6.1753942, 106.827183)"
88,Iran,Tehran,82,35.7006177,51.401375,"(35.7006177, 51.401375)"
