,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points,Cont,ContQ,FSS,KFC,WM,WM-Q
0,FSS,1,1.0,0,-3,1,0,1,-3,-4,1,-1,0,0,0,-3,2,2,3,-1,-3,0,-3,0.0,13836.57037455844,0.0,187.97368888263642,0.0,0.0,114.0,260.28,158.0,112.14,0,0,1,0,0,0
1,FSS,1,0.0,0,0,1,2,1,1,-1,-1,0,1,0,0,1,0,1,-1,1,-1,-4,-1,0.0,1413.6753305481916,0.0,0.0,0.0,0.0,120.0,245.77,129.0,208.71,0,0,1,0,0,0
2,FSS,1,1.0,0,-1,3,-1,4,3,-3,-1,-1,0,0,-1,0,3,2,2,-1,-2,2,-1,215.3354253800797,442.76676088383766,0.0,73.79446014730627,0.0,0.16666666666666666,108.0,298.87,88.0,364.41,0,0,1,0,0,0
3,FSS,1,1.0,0,3,0,1,-1,1,3,1,-1,3,-1,2,-1,-1,1,-1,0,-3,-2,0,0.0,2211.7317716586026,0.0,243.97128022768558,0.0,0.0,101.0,325.01,98.0,328.96,0,0,1,0,0,0
4,FSS,0,1.0,0,0,-1,-2,1,-2,-2,-4,0,0,0,0,1,7,5,0,-1,-1,-3,4,3478.3095065975126,3896.1270121534662,0.0,0.0,0.0,0.0,106.0,307.77,158.0,111.79,0,0,1,0,0,0
5,FSS,1,-1.0,0,-3,1,1,-1,3,0,-2,-1,1,2,-1,1,1,-3,1,-2,-2,-1,0,851.7609199522278,698.3961122649921,0.0,0.0,0.0,0.0,96.0,338.07,127.0,221.62,0,0,1,0,0,0
6,FSS,0,1.0,-1,1,3,0,10,-1,-2,3,0,-3,-3,-4,0,-8,-2,-1,-2,-5,-2,-2,2503.482625777786,3482.335742792833,0.0,0.0,0.0,0.0,203.0,0.0,197.0,10.2,0,0,1,0,0,0
7,FSS,0,1.0,4,1,3,-2,2,0,2,0,-1,-3,2,-1,-4,-1,0,-1,-2,1,-1,-4,1253.3237880382856,4611.894700210962,147.23261289377828,0.0,-0.1111111111111111,0.0,141.0,179.99,183.0,56.95,0,0,1,0,0,0
8,FSS,1,1.0,-2,2,-1,0,2,-2,0,0,-4,-1,0,1,1,-2,0,-3,-4,0,1,-3,0.0,538.7025336401491,0.0,0.0,0.0,0.0,165.0,104.08,162.0,104.92,0,0,1,0,0,0
9,FSS,0,1.0,-2,-12,0,-2,0,-7,1,0,-2,1,-1,1,3,1,2,-7,4,-3,11,-4,1581.2076859831745,4609.045586536462,0.0,0.0,0.0,0.0,177.0,78.93,197.0,10.2,0,0,1,0,0,0
10,FSS,1,1.0,0,3,0,1,9,0,0,1,0,-3,4,1,-2,1,0,1,0,6,-1,4,0.0,8599.537009428012,0.0,1810.3618722009885,0.0,-0.8,92.0,348.42,131.0,207.08,0,0,1,0,0,0
11,FSS,1,1.0,0,0,2,1,2,3,0,1,1,2,0,0,1,6,0,1,0,0,0,0,0.0,1238.2511467455033,0.0,0.0,0.0,0.0,103.0,311.64,95.0,340.83,0,0,1,0,0,0
12,FSS,0,1.0,-3,-4,1,1,-2,0,0,-1,0,3,-3,-3,-1,-4,-1,-8,-1,-1,1,-5,4611.894700210962,3482.335742792833,0.0,0.0,0.0,0.0,183.0,56.95,197.0,10.2,0,0,1,0,0,0
13,FSS,0,-1.0,-4,7,-4,-2,-15,0,-7,0,-11,1,-10,-2,-11,-1,-8,3,-4,2,-7,4,2560.424570998561,1580.3561655070525,0.0,3.1775678950612254,0.0,0.0,203.0,0.0,177.0,78.93,0,0,1,0,0,0
14,FSS,1,1.0,5,-7,-2,-12,-1,-2,2,-7,0,0,-4,1,0,1,1,1,0,-7,-4,-3,0.0,4609.045586536462,0.0,0.0,0.0,0.0,165.0,104.08,197.0,10.2,0,0,1,0,0,0
15,FSS,0,0.0,7,4,-3,-1,1,3,-2,10,0,-2,0,0,-3,-3,-1,0,-1,-2,-1,-2,4611.894700210962,2503.482625777786,0.0,0.0,0.0,0.0,183.0,56.95,203.0,0.0,0,0,1,0,0,0
16,FSS,0,1.0,4,4,-5,7,2,-2,0,0,-2,0,0,1,-1,-2,1,-1,-2,3,-3,2,538.7025336401491,1581.2076859831745,0.0,4.766351842591837,0.0,0.0,162.0,104.92,177.0,78.93,0,0,1,0,0,0
