,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points
14248,WM,1,1,0,-1,-1,-3,-2,-1,-3,2,0,2,-1,-4,0,0,2,-3,-1,3,-1,-2,0,3534.5392314594915,0,347.57460267752367,0,0.16666666666666666,45,1639.14459122057,56,1611.6292016343
14249,WM,0,0,-3,3,0,1,0,2,-1,-1,-1,0,0,2,1,0,1,1,-1,0,-2,-3,3750.413399011972,14770.693705050748,405.96990189857706,1846.3367131313435,0.3333333333333333,1,52,1622.2221976435,13,1778.38323829708
14250,WM,0,0,2,1,1,-1,0,1,2,1,1,-1,4,4,0,1,2,1,0,0,2,2,4224.038711698941,3092.7552638887,53.10196818413613,90.87899808686396,0,0,39,1665.4482221971398,19,1730.38100224724
14251,WM,0,0.5,3,1,0,0,0,5,-3,0,1,0,0,5,3,1,2,3,2,8,1,3,4077.831368835712,3573.97145726081,509.7289211044639,28.632563232259308,0.25,0,5,1841.54613565046,3,1886.1622922354104
14252,WM,0,1,0,1,2,4,2,0,2,-3,-1,2,0,0,2,0,1,0,1,1,0,-2,3214.7598411146637,13767.99268760569,464.5752313935878,322.0339666262745,0.14285714285714285,0.14285714285714285,6,1824.54398393577,30,1680.6602849037
14253,WM,0,0.5,4,0,-5,-1,2,-2,-2,-3,1,3,2,0,0,-1,0,2,0,3,6,2,13462.488657847876,3319.5641101335536,0,368.84045668150594,0,0.3333333333333333,4,1867.2606061059696,25,1706.40950275612
14254,WM,0,0,0,2,3,0,2,0,2,1,2,-1,2,-1,0,4,0,0,0,0,1,1,13156.923045742216,2077.6128369568723,298.54871436329995,298.2262266151635,0.14285714285714285,0.14285714285714285,10,1796.3423960733999,21,1708.64848099185
14255,WM,0,1,1,-1,-2,-1,1,0,-2,-2,0,1,3,-4,2,1,0,0,-1,2,1,1,1040.1785258916746,5192.5001096630895,128.2633536813102,78.22709068705652,0,0,17,1763.20808783825,44,1639.6961730126502
14256,WM,0,0,-3,4,-2,-1,3,2,-1,-1,1,0,-1,2,-5,1,-1,-1,0,1,0,3,11783.165805183753,2339.7359471774507,516.3613838546804,317.91619671085317,0.3333333333333333,0.25,22,1708.53583392586,23,1706.8762606530704
14257,WM,0,0,1,-2,-1,1,-1,0,0,-1,0,3,0,1,4,1,2,0,6,-1,1,2,2032.0902509225202,10736.888400297066,231.7164017850157,196.949740330369,0.1111111111111111,0.125,2,1912.4981178880398,15,1775.02188793285
14258,WM,0,0.5,3,2,2,0,1,6,3,1,0,0,2,1,3,-2,0,3,0,3,2,3,11628.443065390284,2407.461811558917,249.59554195011813,260.45697119348125,0.14285714285714285,0.1111111111111111,1,1938.2546495962602,211,0
14259,WM,0,1,0,-2,0,0,-1,-2,-1,2,1,-1,0,-1,0,1,1,0,-2,1,8,3,1569.4100907220609,6227.501794318434,214.86248871704282,329.1899231665965,0.1111111111111111,0.14285714285714285,20,1720.8201548565,29,1682.16087996189
14260,WM,0,1,3,-1,3,0,0,1,4,-6,1,-1,0,0,4,-1,1,5,1,1,9,-4,2768.2621802468543,11578.58797287884,395.46602574955057,221.9822312322253,0.14285714285714285,0.08333333333333333,8,1808.45124064968,43,1644.8581354701
14261,WM,0,0,-1,2,0,1,0,0,1,1,1,0,0,0,3,1,0,1,1,1,1,4,3066.8297419443707,3158.703409193864,65.2660885196854,291.4768984424906,0,0.18181818181818185,49,1626.2614322453305,9,1800.3014577844501
14262,WM,0,0,0,2,0,-2,1,-2,4,-1,-1,0,0,-3,-1,1,0,1,0,-1,4,-2,10863.95240003217,7112.402875125235,0,354.2286256353517,0,0.14285714285714285,7,1815.70610227626,35,1669.20707059103
14263,WM,0,0,4,2,0,-1,1,0,-1,0,-1,0,0,1,2,2,5,2,3,0,-4,0,1154.3278182772424,6513.561884050511,164.90397403960603,237.87335639131751,0.14285714285714285,0.125,18,1733.4508619083801,32,1678.30952659699
14264,WM,1,1,5,-1,0,-3,-1,0,-2,0,-3,-1,0,-1,-1,0,0,1,2,1,-1,-1,636.1529866080477,3322.452227835089,127.23059732160955,447.1156031765917,0,-0.5,45,1639.14459122057,52,1622.2221976435
14265,WM,0,1,0,-1,3,2,0,1,0,0,-3,2,1,1,0,4,3,0,2,2,2,0,3915.293124419389,4427.698376431436,272.2771701305611,127.23059732160955,0,0,5,1841.54613565046,39,1665.4482221971398
14266,WM,0,1,1,-5,3,-1,1,-3,2,-1,-1,2,0,2,2,-4,0,0,1,-3,0,3,13162.962870894868,2582.967175488635,355.52902671950517,159.9046111755513,-0.4,0,13,1778.38323829708,56,1611.6292016343
14267,WM,0,0,1,0,1,1,-1,0,1,5,1,0,-1,0,4,5,1,1,1,3,0,8,2238.7281286084267,4164.786315966669,240.67607740160219,302.71522898793194,0,0,19,1730.38100224724,3,1886.1622922354104
14268,WM,0,0.5,1,-1,2,1,0,4,0,0,1,-3,-1,2,-1,0,4,0,0,0,0,1,2421.197217241732,13641.743338645192,68.73100784367038,58.9323952870821,0.2,0.2,21,1708.64848099185,30,1680.6602849037
14269,WM,0,1,1,-1,0,0,2,3,2,2,2,2,-1,2,0,2,2,0,1,0,1,0,3897.1383693062303,13873.074957248333,143.9088031078972,203.13455115286442,0.4,0.4,6,1824.54398393577,10,1796.3423960733999
14270,WM,0,0,0,2,4,1,-5,-2,2,1,-2,-2,1,0,2,3,0,2,0,0,0,-1,13864.022675477589,2262.745120045845,80.60733080215681,297.50839047009515,0,0.2,4,1867.2606061059696,17,1763.20808783825
14271,WM,0,1,0,-1,3,-3,2,-2,1,3,3,-1,0,1,2,-1,3,-5,0,-1,0,0,11547.720117772351,10363.728010558503,308.39772129450574,284.3060211800329,0,-0.2,1,1938.2546495962602,22,1708.53583392586
14272,WM,0,1,-2,0,-1,0,-1,-1,0,-2,-2,-3,1,3,-4,0,1,-1,0,2,2,3,5588.037461734636,4206.122681626095,296.2326585942492,152.2056208894123,0.16666666666666666,0,44,1639.6961730126502,25,1706.40950275612
14273,WM,0,0,1,0,4,2,-1,0,2,6,-1,1,0,0,2,1,1,-2,-1,3,1,3,1099.8822291305596,1201.089781611409,387.2313520021293,315.32662579570535,-0.4,-0.2,23,1706.8762606530704,211,0
14274,WM,0,1,3,-1,3,-1,3,0,0,0,4,1,1,1,0,0,4,3,1,0,1,1,2260.273338054757,2944.735635207555,272.2771701305611,182.6467450672948,0,0,8,1808.45124064968,49,1626.2614322453305
14275,WM,0,0,-1,1,-2,-2,0,1,-2,0,2,-1,-1,3,-1,1,1,1,0,0,1,-1,6885.200337894707,11556.491184696586,210.9955341561328,159.9046111755513,0,0,29,1682.16087996189,15,1775.02188793285
14276,WM,0,1,-1,1,1,0,-1,0,-1,-1,0,-1,0,1,0,0,4,0,2,1,6,-2,2558.175302554372,2293.4399743362824,226.8976417754676,289.91314326905905,0,0,2,1912.4981178880398,20,1720.8201548565
14277,WM,0,1,1,-3,2,-1,1,0,0,1,1,-6,0,-1,0,0,1,-1,1,5,1,1,2896.519676529333,11124.226253403747,141.40066313706174,241.59428605754917,0,0,9,1800.3014577844501,43,1644.8581354701
14278,WM,0,0.5,1,1,2,2,-2,-1,-2,0,-1,0,0,0,-3,1,1,2,1,2,-1,0,6098.0911317966675,7925.571429012286,203.13455115286442,284.3759116973796,0.4,0.4,35,1669.20707059103,32,1678.30952659699
14279,WM,0,0,-1,-1,4,0,0,0,1,1,-1,4,-1,-1,0,0,2,-1,5,0,3,0,1871.546177497777,10979.573758055407,144.28530587158986,61.69014380669272,0,0,18,1733.4508619083801,7,1815.70610227626
