,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points
14248,WM,0,1,0,-1,-1,-3,-2,-1,-3,2,0,2,-1,-4,0,0,2,-3,-1,3,-1,-2,0,3534.5392314594915,0,347.57460267752367,0,0,70,456.53,67,465.28
14249,WM,0,0,-3,3,0,1,0,2,-1,-1,-1,0,0,2,1,0,1,1,-1,0,-2,-3,3750.413399011972,14770.693705050748,405.9699018985771,1846.3367131313435,0,0,45,649.43,14,1018.41
14250,WM,0,0,2,1,1,-1,0,1,2,1,1,-1,4,4,0,1,2,1,0,0,2,2,4224.038711698941,3092.7552638887,53.10196818413613,90.87899808686396,0,0,41,685.86,211,0
14251,WM,0,0.5,3,1,0,0,0,5,-3,0,1,0,0,5,3,1,2,3,2,8,1,3,4077.831368835712,3573.97145726081,509.728921104464,28.632563232259674,0,0,4,1273.69,10,1125.5
14252,WM,0,1,0,1,2,4,2,0,2,-3,-1,2,0,0,2,0,1,0,1,1,0,-2,3214.7598411146637,13767.992687605692,464.5752313935878,322.0339666262745,0,0,7,1198.13,36,718.33
14253,WM,0,0.5,4,0,-5,-1,2,-2,-2,-3,1,3,2,0,0,-1,0,2,0,3,6,2,13462.488657847876,3319.5641101335536,0,368.84045668150594,0,0,5,1241.45,22,908.01
14254,WM,0,0,0,2,3,0,2,0,2,1,2,-1,2,-1,0,4,0,0,0,0,1,1,13156.923045742216,2077.6128369568723,298.54871436329995,298.2262266151635,0,0,11,1125.39,12,1051.44
14255,WM,0,1,1,-1,-2,-1,1,0,-2,-2,0,1,3,-4,2,1,0,0,-1,2,1,1,1040.1785258916746,5192.50010966309,128.26335368130995,78.22709068705623,0,0,20,945.18,48,617.79
14256,WM,0,0,-3,4,-2,-1,3,2,-1,-1,1,0,-1,2,-5,1,-1,-1,0,1,0,3,11783.165805183753,2339.7359471774507,516.3613838546804,317.91619671085317,0,0,23,884.04,34,750.75
14257,WM,0,0,1,-2,-1,1,-1,0,0,-1,0,3,0,1,4,1,2,0,6,-1,1,2,2032.0902509225202,10736.888400297066,231.7164017850157,196.94974033036902,0,0,1,1558.49,15,989.44
14258,WM,0,0.5,3,2,2,0,1,6,3,1,0,0,2,1,3,-2,0,3,0,3,2,3,11628.443065390284,2407.461811558917,249.59554195011813,260.45697119348125,0,0,2,1430.57,6,1198.72
14259,WM,0,1,0,-2,0,0,-1,-2,-1,2,1,-1,0,-1,0,1,1,0,-2,1,8,3,1569.4100907220609,6227.501794318434,214.86248871704282,329.1899231665965,0,0,24,879.9,57,543.67
14260,WM,0,1,3,-1,3,0,0,1,4,-6,1,-1,0,0,4,-1,1,5,1,1,9,-4,2768.2621802468543,11578.58797287884,395.46602574955057,221.9822312322253,0,0,3,1298.32,55,571.17
14261,WM,0,0,-1,2,0,1,0,0,1,1,1,0,0,0,3,1,0,1,1,1,1,4,3066.8297419443707,3158.703409193864,65.26608851968531,291.4768984424905,0,0,21,909.91,12,1050.84
14262,WM,0,0,0,2,0,-2,1,-2,4,-1,-1,0,0,-3,-1,1,0,1,0,-1,4,-2,10863.95240003217,7112.402875125235,0,354.2286256353517,0,0,16,985.97,61,520.75
14263,WM,0,0,4,2,0,-1,1,0,-1,0,-1,0,0,1,2,2,5,2,3,0,-4,0,1154.3278182772424,6513.561884050511,164.90397403960603,237.87335639131751,0,0,8,1182.61,27,837.98
14264,WM,0,1,5,-1,0,-3,-1,0,-2,0,-3,-1,0,-1,-1,0,0,1,2,1,-1,-1,636.1529866080477,3322.452227835089,127.23059732160955,447.1156031765919,0,0,70,456.53,45,649.43
14265,WM,0,1,0,-1,3,2,0,1,0,0,-3,2,1,1,0,4,3,0,2,2,2,0,3915.293124419389,4427.698376431436,272.2771701305611,127.23059732160955,0,0,4,1273.69,41,685.86
14266,WM,0,1,1,-5,3,-1,1,-3,2,-1,-1,2,0,2,2,-4,0,0,1,-3,0,3,13162.962870894868,2582.967175488635,355.529026719505,159.9046111755513,0,0,14,1018.41,67,465.28
14267,WM,0,0,1,0,1,1,-1,0,1,5,1,0,-1,0,4,5,1,1,1,3,0,8,2238.7281286084267,4164.786315966669,240.67607740160224,302.71522898793194,0,0,211,0,10,1125.5
14268,WM,0,0.5,1,-1,2,1,0,4,0,0,1,-3,-1,2,-1,0,4,0,0,0,0,1,2421.197217241732,13641.743338645192,68.73100784367038,58.9323952870821,0,0,12,1051.44,36,718.33
14269,WM,0,1,1,-1,0,0,2,3,2,2,2,2,-1,2,0,2,2,0,1,0,1,0,3897.1383693062303,13873.074957248331,143.90880310789714,203.13455115286428,0,0,7,1198.13,11,1125.39
14270,WM,0,0,0,2,4,1,-5,-2,2,1,-2,-2,1,0,2,3,0,2,0,0,0,-1,13864.022675477589,2262.745120045845,80.60733080215681,297.50839047009487,0,0,5,1241.45,20,945.18
14271,WM,0,1,0,-1,3,-3,2,-2,1,3,3,-1,0,1,2,-1,3,-5,0,-1,0,0,11547.720117772351,10363.728010558503,308.3977212945057,284.3060211800329,0,0,2,1430.57,23,884.04
