,Town,Land,count,lat,lon,coordinates
0,6th October City,Egypt,3,29.9723458,30.9409205,"(29.9723458, 30.9409205)"
1,Aachen,Germany,1,50.776351,6.083862,"(50.776351, 6.083862)"
2,Aalborg,Denmark,3,57.0482206,9.9193939,"(57.0482206, 9.9193939)"
3,Aarhus,Denmark,7,56.1496278,10.2134046,"(56.1496278, 10.2134046)"
4,Abeokuta,Nigeria,1,7.161,3.348,"(7.161, 3.348)"
5,Aberdeen,Scotland,4,57.1482429,-2.0928095,"(57.1482429, -2.0928095)"
6,Abidjan,Ivory Coast,36,5.4091179,-4.0422099,"(5.4091179, -4.0422099)"
7,Abu dhabi,United Arab Emirates,92,23.99764435,53.6439097569213,"(23.99764435, 53.6439097569213)"
8,Abuja,Nigeria,22,9.0643305,7.4892974,"(9.0643305, 7.4892974)"
9,Abymes,Guadeloupe,1,16.2706436,-61.5057749,"(16.2706436, -61.5057749)"
10,Accra,Ghana,34,5.5600141,-0.2057437,"(5.5600141, -0.2057437)"
11,Achna,Cyprus,1,35.0297118,33.7708195,"(35.0297118, 33.7708195)"
12,Adana,Turkey,2,37.003277,35.3261219,"(37.003277, 35.3261219)"
13,Addis Ababa,Ethiopia,87,9.0107934,38.7612525,"(9.0107934, 38.7612525)"
14,Addu City,Maldives,6,-0.6263536,73.1791074705682,"(-0.6263536, 73.1791074705682)"
15,Adelaide,Australia,18,-34.9281805,138.5999312,"(-34.9281805, 138.5999312)"
16,Aden,Yemen,10,12.789585,45.028504,"(12.789585, 45.028504)"
17,Agadir,Morocco,19,30.421163,-9.583076,"(30.421163, -9.583076)"
18,Aguascalientes,Mexico,1,22.0000001,-102.5000001,"(22.0000001, -102.5000001)"
19,Agueda,Portugal,1,40.59463245,-8.41600386680901,"(40.59463245, -8.41600386680901)"
20,Aix-en-Provence,France,2,43.5298424,5.4474738,"(43.5298424, 5.4474738)"
21,Aix-les-Bains,France,1,45.6886292,5.9146362,"(45.6886292, 5.9146362)"
22,Ajaccio,France,1,41.9263991,8.7376029,"(41.9263991, 8.7376029)"
23,Al Ahsa,Saudi Arabia,1,22.5,51.0,"(22.5, 51.0)"
24,Al Ain City,United Arab Emirates,30,24.2258413,55.7474052,"(24.2258413, 55.7474052)"
25,Al Farwaniyah,Kuwait,11,29.24758225,47.9119138303901,"(29.24758225, 47.9119138303901)"
26,Al Jahra,Kuwait,1,29.49849265,47.5441289071887,"(29.49849265, 47.5441289071887)"
27,Al Muharraq,Bahrain,1,26.2465946,50.6164127,"(26.2465946, 50.6164127)"
28,Al Ram,Jordan,1,31.8526218,35.2341867,"(31.8526218, 35.2341867)"
29,Al Rayyan,Qatar,6,25.2929189,51.3962334335276,"(25.2929189, 51.3962334335276)"
30,Al Sharjah,United Arab Emirates,2,25.3197641,55.3861645,"(25.3197641, 55.3861645)"
31,Al Wakrah,Qatar,4,24.9973559,51.4817577367629,"(24.9973559, 51.4817577367629)"
32,Al-Hasa,Saudi Arabia,1,25.429427,49.6219145,"(25.429427, 49.6219145)"
33,Al-Ram,Palestine,4,31.9017292,35.1994152,"(31.9017292, 35.1994152)"
34,Al-Ubayyid,Sudan,2,13.183366,30.222559,"(13.183366, 30.222559)"
35,Alajuela,Costa Rica,4,10.6916755,-84.7561318,"(10.6916755, -84.7561318)"
36,Albacete,Spain,3,38.9890121,-1.8548699,"(38.9890121, -1.8548699)"
37,Albany,New Zealand,4,-36.7237379,174.6967735,"(-36.7237379, 174.6967735)"
38,Albufeira,Portugal,1,37.144524,-8.21458814821803,"(37.144524, -8.21458814821803)"
39,Albuquerque,USA,1,35.0841034,-106.6509851,"(35.0841034, -106.6509851)"
40,Alcochete,Portugal,2,38.7560499,-8.9608437,"(38.7560499, -8.9608437)"
41,Aleppo,Syria,5,36.19924,37.1637253,"(36.19924, 37.1637253)"
42,Alexandria,Egypt,23,31.199004,29.894378,"(31.199004, 29.894378)"
43,Algiers,Algeria,22,28.0000272,2.9999825,"(28.0000272, 2.9999825)"
44,Alicante,Spain,3,38.353738,-0.4901846,"(38.353738, -0.4901846)"
45,Almada,Portugal,1,38.6803861,-9.1559563,"(38.6803861, -9.1559563)"
46,Almaty,Kazakhstan,25,43.2363924,76.9457275,"(43.2363924, 76.9457275)"
47,Almeria,Spain,1,36.8414197,-2.4628135,"(36.8414197, -2.4628135)"
48,Altach,Austria,2,47.3544962,9.6518728,"(47.3544962, 9.6518728)"
49,Altenkirchen,Germany,1,54.6360021,13.3439199,"(54.6360021, 13.3439199)"
50,Alverca Do Ribatejo,Portugal,1,38.9049525,-9.04601801313072,"(38.9049525, -9.04601801313072)"
51,Alzira,Spain,2,39.1512424,-0.4346133,"(39.1512424, -0.4346133)"
52,Amadora,Portugal,2,38.7595162,-9.22367700946013,"(38.7595162, -9.22367700946013)"
53,Ambato,Ecuador,2,-1.29038825,-78.7353231113364,"(-1.29038825, -78.7353231113364)"
54,Amiens,France,2,49.8941708,2.2956951,"(49.8941708, 2.2956951)"
55,Amman,Jordan,122,31.9515694,35.9239625,"(31.9515694, 35.9239625)"
56,Amsterdam,Netherlands,50,52.3745403,4.89797550561798,"(52.3745403, 4.89797550561798)"
57,Ancona,Italy,1,43.6170137,13.5170982,"(43.6170137, 13.5170982)"
58,Andorra la Vella,Andorra,44,42.5069391,1.5212467,"(42.5069391, 1.5212467)"
59,Anif,Austria,1,47.7497338,13.0638706,"(47.7497338, 13.0638706)"
60,Ankara,Turkey,2,39.9215219,32.8537929,"(39.9215219, 32.8537929)"
61,Annaba,Algeria,5,36.8970249,7.7460806,"(36.8970249, 7.7460806)"
62,Ansan,South Korea,1,37.3217152,126.8308604,"(37.3217152, 126.8308604)"
63,Anshan,China,1,40.78195365,122.789233036441,"(40.78195365, 122.789233036441)"
64,Antalya,Turkey,35,36.9009641,30.6954846,"(36.9009641, 30.6954846)"
65,Antananarivo,Madagascar,27,-18.9100122,47.5255809,"(-18.9100122, 47.5255809)"
66,Antigua,Guatemala,2,14.5566211,-90.7338758,"(14.5566211, -90.7338758)"
67,Antofagasta,Chile,4,-23.6463741,-70.3980033,"(-23.6463741, -70.3980033)"
68,Antwerp,Belgium,2,51.2211097,4.3997081,"(51.2211097, 4.3997081)"
69,Apia,Samoa,36,-13.8343691,-171.7692793,"(-13.8343691, -171.7692793)"
70,Ar Rayyan,Qatar,5,25.2929189,51.3962334335276,"(25.2929189, 51.3962334335276)"
71,Arbil,Iraq,4,36.37662015,44.1661820118049,"(36.37662015, 44.1661820118049)"
72,Arequipa,Peru,6,-16.3988645,-71.5369607,"(-16.3988645, -71.5369607)"
73,Arica,Chile,1,-18.478518,-70.3210596,"(-18.478518, -70.3210596)"
74,Arles,France,1,43.6776223,4.6309653,"(43.6776223, 4.6309653)"
75,Arlington,USA,9,32.701939,-97.1057149357776,"(32.701939, -97.1057149357776)"
76,Arnhem,Netherlands,1,52.0056642,5.87623450776413,"(52.0056642, 5.87623450776413)"
77,Arusha,Tanzania,2,-3.427534,36.7085848184899,"(-3.427534, 36.7085848184899)"
78,Ashgabat,Turkmenistan,17,37.9396678,58.3874263,"(37.9396678, 58.3874263)"
79,Asmara,Eritrea,11,15.3389667,38.9326763,"(15.3389667, 38.9326763)"
80,Astana,Kazakhstan,26,51.15092055,71.4388595154859,"(51.15092055, 71.4388595154859)"
81,Asuncion,Paraguay,44,-25.2959916,-57.6311196,"(-25.2959916, -57.6311196)"
82,Aswan,Egypt,5,24.091071,32.897306,"(24.091071, 32.897306)"
83,Atele,Tonga,8,-21.1810053,-175.2262266,"(-21.1810053, -175.2262266)"
84,Athens,Greece,8,37.9841493,23.7279843,"(37.9841493, 23.7279843)"
85,Atlanta,USA,11,33.7490987,-84.3901849,"(33.7490987, -84.3901849)"
86,Atteridgeville,South Africa,10,-25.771389,28.073611,"(-25.771389, 28.073611)"
87,Aubervilliers,France,1,48.9146078,2.3821895,"(48.9146078, 2.3821895)"
88,Auckland,New Zealand,5,-36.8534665,174.7655514,"(-36.8534665, 174.7655514)"
89,Augsburg,Germany,1,48.3668041,10.8986971,"(48.3668041, 10.8986971)"
90,Auxerre,France,1,47.7954001,3.58452,"(47.7954001, 3.58452)"
91,Aveiro,Portugal,8,40.640496,-8.6537841,"(40.640496, -8.6537841)"
92,Avignon,France,1,43.9493143,4.8060329,"(43.9493143, 4.8060329)"
93,Awassa,Ethiopia,8,7.0476,38.49326,"(7.0476, 38.49326)"
94,Ayutthaya,Thailand,2,14.3560372,100.5722073,"(14.3560372, 100.5722073)"
95,Ba,Fiji,2,-17.5457103,177.6840732,"(-17.5457103, 177.6840732)"
96,Babahoyo,Ecuador,1,-1.8009022,-79.5338214,"(-1.8009022, -79.5338214)"
97,Bacolet,Trinidad and Tobago,7,11.1754352,-60.7301632155133,"(11.1754352, -60.7301632155133)"
98,Bacolod,Philippines,16,10.6762836,122.9513786,"(10.6762836, 122.9513786)"
99,Bad Erlach,Austria,2,47.7084896,16.2237554787705,"(47.7084896, 16.2237554787705)"
100,Bad Waltersdorf,Austria,1,47.168506,16.0088882,"(47.168506, 16.0088882)"
101,Badajoz,Spain,1,38.8768616,-6.9733409,"(38.8768616, -6.9733409)"
102,Baghdad,Iraq,3,33.3024309,44.3787992,"(33.3024309, 44.3787992)"
103,Bahir Dar,Ethiopia,7,11.5904154,37.3884007,"(11.5904154, 37.3884007)"
104,Bakau,Gambia,18,13.477453,-16.6779085,"(13.477453, -16.6779085)"
105,Baku,Azerbaijan,53,40.3759646,49.8325808,"(40.3759646, 49.8325808)"
106,Balkanabat,Turkmenistan,2,39.508904,54.3631062,"(39.508904, 54.3631062)"
107,Ballarat,Australia,1,-37.5622632,143.8607215,"(-37.5622632, 143.8607215)"
108,Baltimore,USA,4,39.2908816,-76.610759,"(39.2908816, -76.610759)"
109,Bamako,Mali,43,12.60506605,-7.98651205631745,"(12.60506605, -7.98651205631745)"
110,Bandar Seri Begawan,Brunei,2,4.8895453,114.9417574,"(4.8895453, 114.9417574)"
111,Bandung,Indonesia,2,-6.9344694,107.6049539,"(-6.9344694, 107.6049539)"
112,Bangalore,India,6,12.9791198,77.5912997,"(12.9791198, 77.5912997)"
113,Bangkok,Thailand,133,13.7538929,100.8160803,"(13.7538929, 100.8160803)"
114,Bangui,Central African Republic,13,4.3907153,18.5509126,"(4.3907153, 18.5509126)"
115,Banjul,Gambia,9,13.45535,-16.575646,"(13.45535, -16.575646)"
116,Barcelona,Spain,10,41.3828939,2.1774322,"(41.3828939, 2.1774322)"
117,Barcelos,Portugal,1,41.5314496,-8.6192306,"(41.5314496, -8.6192306)"
118,Bari,Italy,4,41.1257843,16.8620293,"(41.1257843, 16.8620293)"
119,Barinas,Venezuela,5,8.6375159,-70.2304978,"(8.6375159, -70.2304978)"
120,Barotac,Philippines,3,11.06283335,122.862043673329,"(11.06283335, 122.862043673329)"
121,Barquisimeto,Venezuela,6,10.0740372,-69.3215667,"(10.0740372, -69.3215667)"
122,Barranquilla,Colombia,28,11.01184845,-74.8086460830206,"(11.01184845, -74.8086460830206)"
123,Barysaw,Belarus,5,54.2240665,28.5117849,"(54.2240665, 28.5117849)"
124,Basel,Suisse,34,47.5581077,7.5878261,"(47.5581077, 7.5878261)"
125,Basra,Iraq,7,30.4952367,47.8090981,"(30.4952367, 47.8090981)"
126,Basse-Terre,Guadeloupe,41,16.15422725,-61.6778124432016,"(16.15422725, -61.6778124432016)"
127,Basseterre,St. Kitts and Nevis,9,17.2960919,-62.722301,"(17.2960919, -62.722301)"
128,Bastia Umbra,Italy,1,43.0677554,12.5495816,"(43.0677554, 12.5495816)"
129,Bata,Equatorial Guinea,28,1.8650897,9.768665,"(1.8650897, 9.768665)"
130,Bayamon,Puerto Rico,22,18.34495825,-66.1683740026913,"(18.34495825, -66.1683740026913)"
131,Bayreuth,Germany,1,49.9427202,11.5763079,"(49.9427202, 11.5763079)"
132,Beauvais,France,4,49.4300997,2.0823355,"(49.4300997, 2.0823355)"
133,Beijing,China,17,39.9059631,116.391248,"(39.9059631, 116.391248)"
134,Beira,Mozambique,3,-19.828707,34.841782,"(-19.828707, 34.841782)"
135,Beirut,Lebanon,49,33.88922645,35.5025733017293,"(33.88922645, 35.5025733017293)"
136,Bekasi,Indonesia,3,-6.2349858,106.9945444,"(-6.2349858, 106.9945444)"
137,Belchatow,Poland,1,51.3650409,19.3684001,"(51.3650409, 19.3684001)"
138,Belek,Turkey,6,36.8633459,31.0578184,"(36.8633459, 31.0578184)"
139,Belem,Brazil,2,-1.45056,-48.4682453,"(-1.45056, -48.4682453)"
140,Belfast,Northern Ireland,62,54.5969869,-5.9300992,"(54.5969869, -5.9300992)"
141,Belgrade,Serbia,43,44.8178131,20.4568974,"(44.8178131, 20.4568974)"
142,Belize City,Belize,2,17.4952119,-88.2017441,"(17.4952119, -88.2017441)"
143,Bellevue,Mauritius,11,-20.2759451,57.5703566,"(-20.2759451, 57.5703566)"
144,Belmopan,Belize,9,17.250199,-88.770018,"(17.250199, -88.770018)"
145,Belo Horizonte,Brazil,14,-19.9227318,-43.9450948,"(-19.9227318, -43.9450948)"
146,Benghazi,Libya,1,32.1288331,20.0817204,"(32.1288331, 20.0817204)"
147,Benguela,Angola,12,-12.5790048,13.4037117,"(-12.5790048, 13.4037117)"
148,Benin City,Benin,1,9.5293472,2.2584408,"(9.5293472, 2.2584408)"
149,Berbice,Guyana,1,6.3993434,-58.2424599,"(6.3993434, -58.2424599)"
150,Bergamo,Italy,3,45.6944947,9.6698727,"(45.6944947, 9.6698727)"
151,Berlin,Germany,12,52.5170365,13.3888599,"(52.5170365, 13.3888599)"
152,Berne,Suisse,11,46.9482713,7.4514512,"(46.9482713, 7.4514512)"
153,Biel,Suisse,1,47.1402077,7.2439029,"(47.1402077, 7.2439029)"
154,Bielefeld,Germany,2,52.010877,8.540868,"(52.010877, 8.540868)"
155,Birmingham,England,2,52.4776875,-1.8948516,"(52.4776875, -1.8948516)"
156,Bishan,Singapore,1,1.3519117,103.8489625,"(1.3519117, 103.8489625)"
157,Bishkek,Kyrgyzstan,28,42.8797576,74.5866877214267,"(42.8797576, 74.5866877214267)"
158,Bissau,Guinea-Bissau,19,11.861324,-15.583055,"(11.861324, -15.583055)"
159,Bitam,Gabon,1,2.0794034,11.4944949,"(2.0794034, 11.4944949)"
160,Bizerte,Tunisia,6,37.2732415,9.8713665,"(37.2732415, 9.8713665)"
161,Black Rock,Trinidad and Tobago,2,11.2053014,-60.7816697,"(11.2053014, -60.7816697)"
162,Blairmont,Dominica,1,15.4113138,-61.3653618,"(15.4113138, -61.3653618)"
163,Blantyre,Malawi,48,-15.7862543,35.0035694,"(-15.7862543, 35.0035694)"
164,Blida,Algeria,33,36.4701645,2.8287985,"(36.4701645, 2.8287985)"
165,Bloemfontein,South Africa,22,-29.116395,26.215496,"(-29.116395, 26.215496)"
166,Blois,France,1,47.5876861,1.3337639,"(47.5876861, 1.3337639)"
167,Boca Raton,USA,3,26.3586885,-80.0830984,"(26.3586885, -80.0830984)"
168,Bocaue,Philippines,5,14.7996399,120.9264574,"(14.7996399, 120.9264574)"
169,Bochum,Germany,2,51.4818111,7.2196635,"(51.4818111, 7.2196635)"
170,Bogor,Indonesia,3,-6.5962986,106.7972421,"(-6.5962986, 106.7972421)"
171,Bogota,Colombia,9,4.5980772,-74.0761028,"(4.5980772, -74.0761028)"
172,Bologhine,Algeria,1,36.8046778,3.0426168,"(36.8046778, 3.0426168)"
173,Bologna,Italy,2,44.4936714,11.3430347,"(44.4936714, 11.3430347)"
174,Bondoufle,France,2,48.6149736,2.3835366,"(48.6149736, 2.3835366)"
175,Bordeaux,France,6,44.841225,-0.5800364,"(44.841225, -0.5800364)"
176,Borg el Arab,Egypt,6,30.90333625,29.5528427076802,"(30.90333625, 29.5528427076802)"
177,Borisov,Belarus,8,54.2240665,28.5117849,"(54.2240665, 28.5117849)"
178,Boston,USA,19,42.3604823,-71.0595678,"(42.3604823, -71.0595678)"
179,Bouake,Ivory Coast,6,7.6906058,-5.0298408,"(7.6906058, -5.0298408)"
180,Boulari,New Caledonia,8,-22.2284926,166.5205659,"(-22.2284926, 166.5205659)"
181,Braga,Portugal,8,41.5510583,-8.4280045,"(41.5510583, -8.4280045)"
182,Brasilia,Brazil,10,-10.3333333,-53.2,"(-10.3333333, -53.2)"
183,Bratislava,Slovakia,30,48.1359085,17.1597440625,"(48.1359085, 17.1597440625)"
184,Brazzaville,Congo,42,-4.2694407,15.2712256,"(-4.2694407, 15.2712256)"
185,Bremen,Germany,3,53.0758196,8.8071646,"(53.0758196, 8.8071646)"
186,Brentford,England,3,51.4863958,-0.3216623,"(51.4863958, -0.3216623)"
187,Brest,Belarus,1,52.093751,23.6851851,"(52.093751, 23.6851851)"
188,Bridgetown,Barbados,52,13.0977832,-59.6184184,"(13.0977832, -59.6184184)"
189,Bridgeview,USA,4,41.7500323,-87.8042216,"(41.7500323, -87.8042216)"
190,Brisbane,Australia,13,-27.4689682,153.0234991,"(-27.4689682, 153.0234991)"
191,Brondby,Denmark,5,55.644111,12.4217135,"(55.644111, 12.4217135)"
192,Bruges,Belgium,2,51.2085526,3.226772,"(51.2085526, 3.226772)"
193,Brussels,Belgium,65,50.8465573,4.351697,"(50.8465573, 4.351697)"
194,Brøndby,Denmark,1,55.644111,12.4217135,"(55.644111, 12.4217135)"
195,Bucaramanga,Colombia,1,7.1114611,-73.1172869,"(7.1114611, -73.1172869)"
196,Bucharest,Romania,38,44.4361414,26.1027202,"(44.4361414, 26.1027202)"
197,Bucheon,South Korea,1,37.5014422,126.7660139,"(37.5014422, 126.7660139)"
198,Budapest,Hungary,69,47.4983815,19.0404707,"(47.4983815, 19.0404707)"
199,Buenos Aires,Argentina,38,-34.6075616,-58.437076,"(-34.6075616, -58.437076)"
200,Bujumbura,Burundi,29,-3.3638125,29.3675028,"(-3.3638125, 29.3675028)"
201,Bulacan,Philippines,4,15.0,121.083333,"(15.0, 121.083333)"
202,Bulawayo,Zimbabwe,12,-20.1053948,28.5426856,"(-20.1053948, 28.5426856)"
203,Burgas,Bulgaria,1,42.50651405,27.3537499392833,"(42.50651405, 27.3537499392833)"
204,Burghausen,Germany,2,48.1689863,12.8304816,"(48.1689863, 12.8304816)"
205,Buriram,Thailand,4,14.6107101,102.6453162,"(14.6107101, 102.6453162)"
206,Bursa,Turkey,2,40.1826036,29.0675655,"(40.1826036, 29.0675655)"
207,Burton Upon Trent,England,1,52.8015803,-1.6305633,"(52.8015803, -1.6305633)"
208,Busan,South Korea,2,35.1799528,129.0752365,"(35.1799528, 129.0752365)"
209,Bushbuckridge,South Africa,1,-24.83356,31.067731,"(-24.83356, 31.067731)"
210,Butare,Rwanda,7,-2.5431564,29.1597013917382,"(-2.5431564, 29.1597013917382)"
211,Bydgoszcz,Poland,5,53.12974625,18.0293696585349,"(53.12974625, 18.0293696585349)"
212,Cabinda,Angola,7,-5.056395,12.3211749,"(-5.056395, 12.3211749)"
213,Cadiz,Spain,2,36.5298292,-6.2925679,"(36.5298292, -6.2925679)"
214,Cagliari,Italy,1,39.2169525,9.1128513,"(39.2169525, 9.1128513)"
215,Cairo,Egypt,93,30.048819,31.243666,"(30.048819, 31.243666)"
216,Calabar,Nigeria,7,4.9795999,8.3373597,"(4.9795999, 8.3373597)"
217,Calama,Chile,1,-22.4623917,-68.9272181,"(-22.4623917, -68.9272181)"
218,Calcutta,India,6,22.5677459,88.3476023,"(22.5677459, 88.3476023)"
219,Cali,Colombia,1,3.4319329,-76.5113048,"(3.4319329, -76.5113048)"
220,Campo Grande,Brazil,1,-20.4640173,-54.6162947,"(-20.4640173, -54.6162947)"
221,Campobasso,Italy,1,41.5597935,14.6602725,"(41.5597935, 14.6602725)"
222,Canberra,Australia,11,-35.2975906,149.1012676,"(-35.2975906, 149.1012676)"
223,Cannes,France,2,43.5515198,7.0134418,"(43.5515198, 7.0134418)"
224,Cap Haitien,Haiti,1,19.7595236,-72.2008068,"(19.7595236, -72.2008068)"
225,Cape Town,South Africa,31,-33.928992,18.417396,"(-33.928992, 18.417396)"
226,Caracas,Venezuela,8,10.506098,-66.9146017,"(10.506098, -66.9146017)"
227,Cardiff,Wales,51,51.4816546,-3.1791934,"(51.4816546, -3.1791934)"
228,Carouge,Suisse,7,46.1846691,6.1396839,"(46.1846691, 6.1396839)"
229,Carson/Los Angeles,USA,17,33.8322043,-118.2517547,"(33.8322043, -118.2517547)"
230,Carson/Los Angeles ,USA,1,33.8322043,-118.2517547,"(33.8322043, -118.2517547)"
231,Cary,USA,4,35.7882973,-78.7811925,"(35.7882973, -78.7811925)"
232,Casablanca,Morocco,39,33.5950627,-7.6187768,"(33.5950627, -7.6187768)"
233,Castries,St. Lucia,3,14.0095966,-60.9902359,"(14.0095966, -60.9902359)"
234,Cave Hill,Barbados,1,13.1354212,-59.6284343,"(13.1354212, -59.6284343)"
235,Cebu City,Philippines,1,10.3090298,123.8930839,"(10.3090298, 123.8930839)"
236,Celje,Slovenia,17,46.2309234,15.2659932,"(46.2309234, 15.2659932)"
237,Cesena,Italy,1,44.136352,12.2422442,"(44.136352, 12.2422442)"
238,Ceske Budejovice,Czech Republic,1,48.9747357,14.474285,"(48.9747357, 14.474285)"
239,Chai Wan,Hong Kong,1,22.2656067,114.2379644,"(22.2656067, 114.2379644)"
240,Changsha,China,9,28.1979483,112.97133,"(28.1979483, 112.97133)"
241,Chantilly,France,1,49.1939579,2.4632567,"(49.1939579, 2.4632567)"
242,Charleroi,Belgium,1,50.4120332,4.4436244,"(50.4120332, 4.4436244)"
243,Charlotte,USA,5,35.2270869,-80.8431268,"(35.2270869, -80.8431268)"
244,Charlotte Amalie,US Virgin Islands,8,18.341137,-64.932789,"(18.341137, -64.932789)"
245,Chateauroux,France,1,46.8047,1.6957099,"(46.8047, 1.6957099)"
246,Chattanooga,USA,1,35.0456297,-85.3096801,"(35.0456297, -85.3096801)"
247,Chaves,Portugal,1,41.7411672,-7.4721312,"(41.7411672, -7.4721312)"
248,Chengdu,China,9,30.6765553,104.0612783,"(30.6765553, 104.0612783)"
249,Chennai,India,1,13.0801721,80.2838331,"(13.0801721, 80.2838331)"
250,Cheonan,South Korea,3,36.8150283,127.1140654,"(36.8150283, 127.1140654)"
251,Chester,USA,7,39.849557,-75.3557458,"(39.849557, -75.3557458)"
252,Cheung Sha Wan,Hong Kong,1,22.2330795,114.0044574,"(22.2330795, 114.0044574)"
253,Chiangmai,Thailand,5,18.7905618,98.9880909,"(18.7905618, 98.9880909)"
254,Chicago,USA,28,41.8755546,-87.6244212,"(41.8755546, -87.6244212)"
