,Type,HomeAdv,Win,PrevDiffHome1,PrevDiffAway1,PrevDiffHome2,PrevDiffAway2,PrevDiffHome3,PrevDiffAway3,PrevDiffHome4,PrevDiffAway4,PrevDiffHome5,PrevDiffAway5,PrevDiffHome6,PrevDiffAway6,PrevDiffHome7,PrevDiffAway7,PrevDiffHome8,PrevDiffAway8,PrevDiffHome9,PrevDiffAway9,PrevDiffHome10,PrevDiffAway10,dist_home,dist_away,TravelHome,TravelAway,TZDeltaHome,TZDeltaAway,team_a_ranking,team_a_points,team_b_ranking,team_b_points,Cont,ContQ,FSS,KFC,WM,WM-Q
0,FSS,1,1.0,1,-1,1,1,-2,1,0,1,2,1,4,-1,1,1,0,2,4,-3,2,2,109.8118604729809,9305.286394855895,17.045895515880762,72.69431694326956,0.0,0.0,3.0,1828.10043473374,11.0,1764.71498882007,0,0,1,0,0,0
1,FSS,1,0.0,0,2,-1,0,-5,1,-1,1,-1,1,-1,-1,1,-2,1,2,-1,1,1,0,0.0,7737.037489611595,0.0,1289.5062482685992,0.0,-1.1666666666666667,39.0,1659.1233005307502,38.0,1661.10527249529,0,0,1,0,0,0
2,FSS,1,-1.0,-1,-1,-1,-1,3,-2,-2,-2,0,1,-1,-1,-2,-2,-1,-2,-2,1,4,3,0.0,4613.786111279148,0.0,0.0,0.0,0.0,168.0,1267.78707028606,87.0,1504.6248196359195,0,0,1,0,0,0
3,FSS,1,0.0,0,0,-3,1,0,1,0,3,0,0,2,0,-1,-5,1,-2,3,1,1,2,0.0,13064.115395224622,49.6899103582197,490.15362848873565,0.0,0.0,13.0,1754.98268092445,49.0,1619.36623650325,0,0,1,0,0,0
4,FSS,1,1.0,0,1,7,0,3,0,-3,0,0,1,1,0,-1,-1,2,-1,-2,1,0,2,80.06862144743063,8452.618598211662,14.235933009649846,296.47721470047406,0.0,0.0,10.0,1767.3903374677302,36.0,1670.4980151218301,0,0,1,0,0,0
5,FSS,1,0.0,3,1,-1,0,0,2,-3,1,2,-1,3,-1,2,1,1,-2,1,1,0,0,0.0,10500.416033961654,0.0,0.0,0.0,0.0,37.0,1663.05089862784,22.0,1725.06084539876,0,0,1,0,0,0
6,FSS,0,0.0,-1,-3,0,0,-1,-1,-3,2,-1,-1,-2,1,0,-3,1,-2,-1,-1,0,0,505.3575981168726,2322.640242823776,0.0,0.0,0.0,0.0,93.0,1490.03572741201,72.0,1552.74762579956,0,0,1,0,0,0
7,FSS,0,-1.0,-2,1,2,0,4,0,-1,0,1,0,0,0,-2,2,0,-2,-1,1,1,1,6776.959621930394,2137.793273328805,476.7375900897189,146.2635757330969,0.0,0.0,68.0,1564.7042161693,19.0,1735.11290425885,0,0,1,0,0,0
8,FSS,0,0.0,0,4,3,0,0,1,2,0,1,-1,1,0,3,1,0,0,1,1,0,2,230.23755593117264,1810.6761486317187,25.81295588784305,362.1352297263437,0.0,-0.2,7.0,1792.38962807992,30.0,1685.44341521204,0,0,1,0,0,0
9,FSS,1,1.0,0,0,1,1,0,3,4,2,6,0,2,3,0,-1,1,2,2,2,0,2,352.30555641718354,3065.8240642610917,18.398579270629497,0.0,0.0,0.0,8.0,1792.1112946057199,33.0,1675.2684250349896,0,0,1,0,0,0
10,FSS,1,1.0,2,-3,1,0,1,-5,1,1,1,-2,-1,-1,1,0,-3,1,1,0,1,1,262.28592009140704,7401.605273689451,0.0,23.95775144073298,0.0,0.0,5.0,1809.6333465608109,43.0,1634.34161938459,0,0,1,0,0,0
11,FSS,1,1.0,1,-2,2,-1,0,0,1,2,1,1,3,0,-2,1,3,1,-2,-2,-1,1,0.0,8103.861345118099,14.943053739991177,144.4647541728855,0.0,0.0,2.0,1833.4210490555,61.0,1582.13622186066,0,0,1,0,0,0
12,FSS,1,1.0,0,-1,0,2,2,-1,-2,-2,2,-1,0,2,0,0,2,0,0,2,2,0,74.86546206594556,9188.080945767017,74.82693035411984,0.0,0.0,0.0,29.0,1695.20838432605,54.0,1599.06338048177,0,0,1,0,0,0
13,FSS,1,0.0,-2,1,0,-3,-4,0,-2,0,-3,-4,-2,-3,-3,-2,-1,5,2,15,-3,6,0.0,64.08652753113378,0.0,0.0,0.0,0.0,202.0,936.684830228937,149.0,1346.3214580061501,0,0,1,0,0,0
14,FSS,1,0.0,0,0,-1,-1,-1,2,-1,0,-2,-1,1,0,-3,-1,1,2,1,1,-1,2,55.89185486062046,260.83984177191286,86.94661392397093,86.94661392397093,0.0,0.0,143.0,1360.8218622157801,123.0,1412.2464579256302,0,0,1,0,0,0
15,FSS,0,-1.0,0,-1,3,4,1,-1,4,1,-2,-1,-2,2,0,3,1,-1,0,1,2,1,826.255198271164,696.5487168734422,159.49313495368338,154.2635872188839,0.0,0.0,15.0,1744.4504622167701,28.0,1697.32021984186,0,0,1,0,0,0
16,FSS,0,-1.0,-7,3,-2,3,-1,0,-2,2,-4,3,-3,1,-6,0,-4,6,-4,2,-5,1,77.50128630343532,1682.5760679687612,25.096036192595896,232.11334893590853,0.0,0.14285714285714285,196.0,1045.77593485454,9.0,1774.5941664488605,0,0,1,0,0,0
17,FSS,0,-1.0,2,0,-2,0,1,-1,-3,0,-1,1,1,0,-1,-2,0,1,0,1,0,2,958.5089916931116,4827.545243800788,251.5452545043528,53.59207037891297,0.0,0.0,60.0,1584.8553194189499,27.0,1711.9346100143698,0,0,1,0,0,0
18,FSS,0,1.0,-3,-1,1,1,0,0,0,0,0,-1,1,0,0,1,-1,3,-1,0,1,0,8125.85708928208,1412.7124465648749,569.2138535066069,118.67102461065274,0.0,0.0,36.0,1670.4980151218301,44.0,1633.67720483935,0,0,1,0,0,0
19,FSS,1,1.0,0,4,0,-3,-3,-2,0,3,-3,-4,-1,-2,1,0,3,1,-1,-5,0,0,939.4069535431634,3336.524152554661,0.0,0.0,0.0,0.0,102.0,1465.19221950786,130.0,1392.41627635731,0,0,1,0,0,0
20,FSS,0,1.0,1,0,8,2,3,-2,0,-1,5,-3,0,1,3,1,1,-1,0,2,-1,10,9377.122584684024,18952.073647654266,0.0,480.18092915395835,0.0,-0.25,1.0,1852.95718799734,63.0,1574.187717316,0,0,1,0,0,0
21,FSS,1,0.0,1,1,1,2,1,1,-2,-1,0,5,2,1,4,7,1,-2,0,-2,4,-1,57.06152336108162,16683.0830308492,28.40982585980127,1657.7631628482595,0.0,-0.8,3.0,1828.10043473374,14.0,1748.40383219546,0,0,1,0,0,0
22,FSS,0,1.0,3,0,0,2,-1,0,-1,1,1,1,-1,1,-2,-1,-1,-2,2,2,4,1,5464.047502989771,8624.285146452923,65.39216528735788,311.12210335890387,0.0,-0.3333333333333333,64.0,1573.5266013442001,38.0,1661.10527249529,0,0,1,0,0,0
23,FSS,0,-1.0,1,1,1,-1,0,-1,0,1,0,1,0,0,0,-4,2,-3,-2,-5,1,1,2062.838216030578,1534.8826417879748,44.30604035125295,206.9455643622192,0.0,0.0,19.0,1735.11290425885,85.0,1509.2551445943802,0,0,1,0,0,0
24,FSS,0,1.0,0,-2,0,-2,-1,0,1,0,0,-4,6,0,2,-3,-1,-6,1,-3,-1,-3,9219.71694102588,1838.3713916442998,17.477640396667034,0.0,0.0,0.0,20.0,1734.98576743477,164.0,1278.4494257925098,0,0,1,0,0,0
